-	00	0000	0000	00	00
1	01	0000	0000	00	00
2	10	0000	0000	00	00
y	01	0001	1000	01	01
i	01	0001	0001	01	01
i~	01	0001	0001	01	10
i2	01	0001	0010	01	01
i2~	01	0001	0010	01	10
e	01	0010	0001	01	01
e~	01	0010	0001	01	10
e2	01	0010	0010	01	01
e2~	01	0010	0010	01	10
e3	01	0100	0010	01	01
a	01	1000	0100	01	01
a~	01	1000	0100	01	10
o	01	0010	0100	10	01
o~	01	0010	0100	10	10
u	01	0001	0100	10	01
u~	01	0001	0100	10	10
o2	01	0010	0010	10	01
y:	10	0001	1000	01	01
i:	10	0001	0001	01	01
i2:	10	0001	0010	01	01
e:	10	0010	0001	01	01
e2:	10	0010	0010	01	01
e3:	10	0100	0010	01	01
a:	10	1000	0100	01	01
o:	10	0010	0100	10	01
u:	10	0001	0100	10	01
