"V1","V2","V3","V4","V5","V6","V7"
"1: 喜界町阿伝","n","u","b","i:","?","i"
"1: 宮古島市池間","n","u","b","u","?","i"
"","","","","","",""
"2: 喜界町阿伝","n","u","b","i:","?","i"
"2: 宮古島市大神","n","u","p","u","?","i"
"","","","","","",""
"3: 喜界町阿伝","n","u","b","i:","?","i"
"3: 宮古島市平良狩俣","n","u","b","a","?","i"
"","","","","","",""
"4: 喜界町阿伝","n","u","b","i:","?","i"
"4: 宮古島市平良東仲宗根","n","u","b","u","?","i"
"","","","","","",""
"5: 喜界町阿伝","n","u","b","i:","?","i"
"5: 宮古島市下地与那覇","n","u","b","u","?","i"
"","","","","","",""
"6: 喜界町阿伝","n","u","b","i:","?","i"
"6: 宮古島市上野宮国","n","u","b","u","?","i"
"","","","","","",""
"7: 喜界町阿伝","n","u","b","i:","?","i"
"7: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"","","","","","",""
"8: 喜界町阿伝","n","u","b","i:","?","i"
"8: 多良間村仲筋","n","i","b","u","?","i"
"","","","","","",""
"9: 喜界町阿伝","n","u","b","i:","?","i"
"9: 石垣市登野城","n","u","b","i","-","-"
"","","","","","",""
"10: 喜界町阿伝","n","u","b","i:","?","i"
"10: 石垣市大浜","n","u","b","-","-","y"
"","","","","","",""
"11: 喜界町阿伝","n","u","b","i:","?","i"
"11: 石垣市宮良","n","u","b","i","-","-"
"","","","","","",""
"12: 喜界町阿伝","n","u","b","i:","?","i"
"12: 石垣市平久保","n","u","b","i","-","-"
"","","","","","",""
"13: 喜界町阿伝","n","u","b","i:","?","i"
"13: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"14: 喜界町阿伝","n","u","b","i:","?","i"
"14: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"15: 喜界町阿伝","n","u","b","i:","?","i"
"15: 竹富町黒島","n","u","b","i","-","-"
"","","","","","",""
"16: 喜界町阿伝","n","u","b","i:","?","i"
"16: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"17: 喜界町阿伝","n","u","b","i:","?","i"
"17: 竹富町古見","n","u","b","i","-","-"
"","","","","","",""
"18: 喜界町阿伝","n","u","b","i:","?","i"
"18: 竹富町干立","n","u","b","i:","-","-"
"","","","","","",""
"19: 喜界町阿伝","n","u","b","i:","?","i"
"19: 竹富町下地","n","u","b","i","-","-"
"","","","","","",""
"20: 喜界町阿伝","n","u","b","i:","?","i"
"20: 与那国町祖納","n","-","-","u:","b","i"
"","","","","","",""
"21: 喜界町阿伝","n","u","b","i:","?","i"
"21: 与那国町比川","n","u","b","i","-","-"
"","","","","","",""
