"V2" "V3" "V4" "V5" "V6"
"p" 1 1 0 0 1
"ph" 1 1 0 1 1
"px" 1 1 0 2 1
"pj" 1 1 2 0 1
"pjh" 1 1 2 1 1
"pjx" 1 1 2 2 1
"b" 1 1 0 0 0
"bj" 1 1 2 0 0
"hw" 1 3 0 0 1
"?" 11 1 0 1 0
"!" 11 7 0 0 0
"h" 11 2 0 0 1
"h!" 11 2 0 0 0
"m" 1 4 0 0 0
"!m" 1 4 0 1 0
"?m" 1 4 0 2 0
"mj" 1 4 2 0 0
"!mj" 1 4 2 1 0
"?mj" 1 4 2 2 0
"f" 2 3 0 0 1
"v" 2 3 0 0 1
"t" 4 1 0 0 1
"th" 4 1 0 1 1
"tx" 4 1 0 2 1
"ts3" 3 2 0 0 0
"tj" 4 1 2 0 1
"tjh" 4 1 2 1 1
"tjx" 4 1 2 2 1
"d" 4 1 0 0 0
"ts" 4 2 0 0 1
"tsh" 4 2 0 1 1
"tsx" 4 2 0 2 1
"ts2" 4 2 2 0 1
"ts2h" 4 2 2 1 1
"ts2x" 4 2 2 2 1
"dz" 4 2 0 0 0
"dz1" 4 2 1 0 0
"dz2" 4 2 2 0 0
"s" 4 3 0 0 1
"s1" 4 3 1 0 1
"s2" 4 3 2 0 1
"z" 4 3 0 0 0
"z2" 4 3 2 0 0
"n" 4 4 0 0 0
"!n" 4 4 0 1 0
"?n" 4 4 0 2 0
"nj" 4 4 2 0 0
"!nj" 4 4 2 1 0
"?nj" 4 4 2 2 0
"r" 4 5 0 0 0
"?r" 4 5 0 1 0
"rj" 4 5 2 0 0
"hj" 7 3 0 0 1
"k" 8 1 0 0 1
"kh" 8 1 0 1 1
"kx" 8 1 0 2 1
"kj" 8 1 2 0 1
"kjh" 8 1 2 1 1
"kjx" 8 1 2 2 1
"kw" 8 1 4 0 1
"kwh" 8 1 4 1 1
"kwx" 8 1 4 2 1
"g" 8 1 0 0 0
"gj" 8 1 2 0 0
"gw" 8 1 4 0 0
"ng" 8 1 1 0 0
"j" 7 7 0 0 0
"?j" 7 7 0 1 0
"!j" 7 7 0 2 0
"w" 1 7 0 0 0
"?w" 1 7 0 1 0
"!w" 1 7 0 2 0
"n2" 12 4 0 0 0
"?n2" 12 4 0 1 0
"!n2" 12 4 0 2 0
"n2:" 13 4 0 0 0
"?n2:" 14 4 0 0 0
"in2" 15 4 0 0 0
"?in2" 16 4 0 0 0
"q" 12 1 0 0 0
"l" 7 1 0 0 1
