k a n e                        
                           
                           
                           
                           
kh a n i2                        
kh a n i2                        
kh a n i2                        
kh a n i2                        
kh a n i2                        
kh a n i2                        
h a n i                        
h a n i                        
h a n i                        
                           
                           
kh a n i2                        
                           
                           
h a n i                        
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
                           
