t o  o g u w a                
th o g   e                  
th o g   e2                  
th o g   e2                  
th o: g   e2                  
th o: g   e2                  
th o: g   e2                  
th o: g   i2                  
th o: g   i2                  
th o: g   i2                  
th o: g   i2                  
                       
                       
                       
th o: gw   e2                  
th un g   e2                  
th un gw   i2                  
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
th un gw   e:                  
th un g   e:                  
th un gw   e:                  
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
t an gw   e:                  
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
                       
