k o  e                        
kh u  i                        
kh u  i                        
kh u  i                        
kh u  i                        
kh u  i                        
kh u  i                        
kh u  i:                        
kh u  i:                        
kh u  i                        
kh u  i                        
kh u  i                        
kh u  i                        
kh u  i                        
kh u  i                        
kh u  i                        
kwh i2  i2                        
hw u  i                        
hw u  i                        
hw u  i                        
k u  i                        
kw i:  i:                        
kwh i:  i:                        
hw u  i                        
hw u  i                        
hw u  i                        
hw u  i                        
hw u  i                        
hw u  i                        
hw u  i                        
hw i  i                        
kh u  i                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
k i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
k i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
h u  i                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw e:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i:                        
kw i:  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u j i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
k u  i                        
