p o n e                        
hw u n i2                        
hw u n i2                        
hw u n i2                        
hw u n i2                        
hw u n i2                        
hw u n i2                        
hw a n i2                        
hw u n i2                        
hw u n i2                        
hw u n i2                        
p u n i                        
ph u n i                        
hw u n i                        
hw u: n i2                        
hw u n i2                        
hw u n i2                        
hw u n i                        
hw u n i                        
p u n i                        
hw u n i                        
                           
ph u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
ph u n i                        
ph u n i                        
p u n i                        
ph u n i                        
ph u n i                        
ph u: n i                        
hw u n i                        
hw u: n i                        
hw u: n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
p u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
p u n2                         
hw u n i                        
                           
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u n i                        
hw u: n i                        
hw u: n i                        
hw u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
hw u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
p u n i                        
hw u n i                        
hw u n i                        
